clamp,mass,length
3.17,105.2,3.53
3.01,200.3,3.6
2.815,302.9,3.44
3.88,302.9,4.53
4.03,200.1,4.68
4,105.3,4.53
1.18,105.3,1.63
1,200.1,1.55
0.99,300.7,1.57
2.38,300,3.06
2.52,200,3.17
2.59,104.6,3.14
2.15,104.6,2.67
1.99,200,2.62
1.89,300,2.55
3.66,274.8,4.25
3.72,224.5,4.28
3.79,189.4,4.38
3.59,169.8,4.13
4,259.8,4.47
4,244.9,4.59
4,199.8,4.58
4,169.4,4.48
4.06,149.5,4.62
4.06,129.5,4.57
4.06,109.5,4.49
4.11,109.5,4.62
3,109.5,3.49
3.07,109.5,3.56
3.07,121.1,3.59
3.1,159.9,3.55
3.1,179.8,3.56
3.1,229.2,3.64
3.06,270.2,3.64
3.01,299.6,3.59
2.56,299.7,3.17
2.56,239.7,3.15
2.56,190.5,3.135
2.56,140.1,3.1
2.05,230.5,2.54
2.05,209.5,2.55
2.05,169.7,2.52
2.05,129.8,2.51
2.05,109.8,2.48
2.12,109.8,2.57
3.55,299.8,4.12
3.55,270.3,4.09
3.55,239.9,4.08
3.55,209.5,4.09
3.55,189.5,4.1
3.55,150,4.09
3.58,130.7,4.1
3.57,130.7,4.09
3.45,299.9,4.105
3.4,299.9,4.08
9.15,110,9.64
9.18,132.8,9.68
9.06,151,9.66
5.35,153,5.95
5.33,299,5.98
5.85,299,6.57
